id,city,area,geoarea,population,climate_class,builtup_area,income_group,orientation_entropy,walk_prox_poi_mean,walk_prox_poi_median,walk_prox_poi_range,walk_prox_poi_std,walk_prox_poi_iqr,walk_prox_pub_transport_mean,walk_prox_pub_transport_median,walk_prox_pub_transport_range,walk_prox_pub_transport_std,walk_prox_pub_transport_iqr,walk_circuity,walk_street_len_mean,walk_street_len_median,walk_street_len_range,walk_street_len_std,walk_street_len_iqr,walk_street_density,walk_street_len_total,walk_link_node_ratio,walk_intersection_density,walk_intersection_count,bike_prox_poi_mean,bike_prox_poi_median,bike_prox_poi_range,bike_prox_poi_std,bike_prox_poi_iqr,bike_slope_mean,bike_slope_median,bike_slope_range,bike_slope_std,bike_slope_iqr,bike_circuity,bike_street_len_mean,bike_street_len_median,bike_street_len_range,bike_street_len_std,bike_street_len_iqr,bike_street_density,bike_street_len_total,bike_link_node_ratio,bike_intersection_density,bike_intersection_count
140,kinshasa,487,SA,12945682.99,3,165.315057,Low income,3.551550678,8.950955764,6,42,8.404231699,13,0.187326357,0,10,0.714831076,0,1.035617338,93.99300408,64.00721964,2348.613745,86.48487429,72.35879195,16274.493,7925678.09,1.445657056,122.5708419,59692,22.41093302,22,55,14.75093676,26,0.041931454,0.025026309,0.930436938,0.055460274,0.046539589,1.034623225,94.68953158,64.54304372,2348.611577,86.62168222,72.66298975,32058.53112,15612504.66,1.446954614,101.110883,49241
145,asmara,43,SA,251979.7984,7,10.122801,Low income,3.525349581,9.034745986,6,30,8.69126833,12,0.111608318,0,2,0.343279813,0,1.043006638,73.3782253,59.90691378,731.1190111,58.18451201,53.57078071,18853.08449,810682.6331,1.533824691,175.1627907,7532,27.59258275,32,35,8.99736522,11,0.03375006,0.023235259,0.650064583,0.044085287,0.041744631,1.041928836,73.5937076,60.24710804,731.1190111,56.87039451,53.24857574,35927.42116,1544879.11,1.536222252,160.1395349,6886
168,freetown,205,SA,2150532.945,2,46.023652,Low income,3.578954537,9.036739089,6,46,8.917712868,8,0.040539685,0,2,0.21057953,0,1.063949214,96.8311636,72.0460555,1798.380609,88.43739976,78.26911098,8702.051351,1783920.527,1.23025274,75.44878049,15467,21.91878626,15,55,14.97760282,20,0.063422392,0.038885171,0.980494091,0.078321788,0.073481721,1.062894671,96.35441803,72.13554057,1798.380609,86.49423946,77.80038409,16541.93848,3391097.388,1.228915663,53.04390244,10874
171,juba,79,SA,296086.9767,3,20.686983,Low income,2.877972482,7.1505306,6,22,5.247731573,8,0.049498474,0,2,0.258493114,0,1.021067625,78.76289904,62.33809938,760.9169024,47.93979216,64.01109733,21620.91429,1708052.229,1.608300625,172.5822785,13634,19.24437792,20,34,8.426284373,14,0.031510543,0.023164925,0.914722757,0.036342485,0.034160181,1.020099479,78.595482,62.36162273,760.9169024,47.30299581,63.78358159,42434.59612,3352333.094,1.608863902,153.3924051,12118
150,accra,1121,SA,5890466.043,3,338.40001,Lower Middle,3.542596637,8.176668813,6,36,7.747392549,11,1.337873864,0,44,3.115366842,1,1.05316036,93.27794389,73.31727778,5701.075407,82.01306971,70.83181345,14145.5461,15857157.18,1.310780452,117.9919715,132269,22.63784626,21,51,12.46328719,21,0.028650589,0.020526426,0.960558447,0.035002176,0.033283976,1.051452631,93.35510384,73.61275062,5701.075407,79.44122109,70.36973746,27515.85473,30845273.15,1.309989383,91.92863515,103052
165,kigali,286,SA,1621760.398,3,51.898795,Low income,3.581039868,7.68052348,5,30,7.445000052,12,0.864782865,0,9,1.420670813,2,1.07307849,111.5570245,78.33129898,2061.10938,112.2338082,95.36192037,11079.64084,3168777.28,1.329982339,75.53146853,21602,20.67788162,21,47,12.42283644,23,0.072690659,0.050581334,0.981965337,0.079436182,0.085548024,1.072998744,114.7842078,80.56559045,2061.10938,116.0603,96.65282146,20991.86436,6003673.206,1.323412413,57.31818182,16393
175,lusaka,360,SA,3658064.188,11,106.649015,Lower Middle,3.495334857,7.07672264,5,26,6.750677516,10,0.213086277,0,9,0.738542772,0,1.054153174,102.3623967,74.82461276,2193.825524,90.80839085,86.97672018,12820.03716,4615213.378,1.357527504,94.81388889,34133,22.12627256,21,48,12.45673296,19,0.018719134,0.012650321,0.599556699,0.025685598,0.026206759,1.05082339,102.193443,75.00128162,2193.825524,89.74895884,86.5008938,24862.81307,8950612.705,1.357097409,77.67222222,27962
144,malabo,71,SA,729478.227,2,11.702885,Upper Middle,3.490188468,6.86326087,5,23,5.675289517,7,0.031521739,0,1,0.174722978,0,1.080474811,110.7779103,79.86888556,2317.691368,123.5647569,92.83876512,9341.230268,663227.349,1.355434783,63.49295775,4508,20.65038203,23,30,7.489779667,13,0.043366378,0.029646129,0.923169476,0.057237653,0.047777169,1.080704408,114.5625463,86.47636455,2317.691368,116.8702857,91.77211892,16837.46719,1195460.171,1.360963186,48.11267606,3416
134,ouagadougou,495,SA,3616268.287,6,137.626681,Low income,3.515403731,6.804833214,4,42,7.506308439,6,1.118476506,0,29,2.732178836,0,1.030999745,72.97787172,57.479269,1721.890282,59.13226868,52.24857794,19263.65182,9535507.652,1.532348458,179.0727273,88641,22.21095106,19,56,13.50639105,17,0.021153079,0.015525539,0.966173804,0.029356989,0.030391892,1.030654819,72.64544706,57.46701894,1721.890282,57.98894287,51.7506053,37661.45438,18642419.92,1.532539844,168.2464646,83282
135,gitega,26,SA,176122.5345,3,4.377419,Low income,3.561820697,5.441198502,4,16,5.31488857,9,0.153558052,0,3,0.580275409,0,1.066830711,125.4782649,90.61891282,1239.047995,113.9724795,101.677811,8561.478534,222598.4419,1.372284644,50.96153846,1325,16.7642527,18,16,3.247360114,3,0.058122097,0.043735899,0.835339813,0.061820949,0.061468097,1.064217709,128.1219763,92.57522037,1239.047995,114.9473279,105.5847594,16912.10087,439714.6226,1.371340524,40.65384615,1057
